District
Buikwe
Bukomansimbi
Butambala
Buvuma
Gomba
Kalangala
Kalungu
Kampala
Kasanda
Kayunga
Kiboga
Kyankwanzi
Kyotera
Luweero
Lwengo
Lyantonde
Masaka
Mityana
Mpigi
Mubende
Mukono
Nakaseke
Nakasongola
Rakai
Sembabule
Wakiso
Amuria
Budaka
Bududa
Bugiri
Bugweri
Bukedea
Bukwa
Bulambuli
Busia
Butaleja
Butebo
Buyende
Iganga
Jinja
Kaberamaido
Kalaki
Kaliro
Kamuli
Kapchorwa
Kapelebyong
Katakwi
Kibuku
Kumi
Kween
Luuka
Manafwa
Mayuge
Mbale
Namayingo
Namisindwa
Namutumba
Ngora
Pallisa
Serere
Sironko
Soroti
Tororo
Abim
Adjumani
Agago
Alebtong
Amolatar
Amudat
Amuru
Apac
Arua
Dokolo
Gulu
Kaabong
Karenga
Kitgum
Koboko
Kole
Kotido
Kwania
Lamwo
Lira
Madi-Okollo
Maracha
Moroto
Moyo
Nabilatuk
Nakapiripirit
Napak
Nebbi
Nwoya
Obongi
Omoro
Otuke
Oyam
Pader
Pakwach
Terego
Yumbe
Zombo
Buhweju
Buliisa
Bundibugyo
Bunyangabu
Bushenyi
Hoima
Ibanda
Isingiro
Kabale
Kabarole
Kagadi
Kakumiro
Kamwenge
Kanungu
Kasese
Kazo
Kibaale
Kikuube
Kiruhura
Kiryandongo
Kisoro
Kitagwenda
Kyegegwa
Kyenjojo
Masindi
Mbarara
Mitooma
Ntoroko
Ntungamo
Rubanda
Rubirizi
Rukiga
Rukungiri
Rwampara
Sheema
